breast,liver,week,concentration,mTOR,s6k1,4e-bp1,murf1,mafbx,ampk
0,1,6,3,0.661952938,2.410540834,3.474137471,0.449687455,0.10992697,1.226328931
0,1,6,3,0.891115357,2.840627216,3.149870796,0.407659317,0.138813198,2.7902908
0,1,6,3,0.858473424,3.129732057,3.498221626,0.634355688,0.139955983,0.903936297
0,1,6,3,1.066182271,3.262456143,2.923114768,0.509094004,0.117864124,1.310363527
0,1,6,3,1.431701621,4.70980202,3.171174505,0.452155216,0.11592136,1.384621011
0,1,6,3,0.767507575,2.483026395,2.39218436,0.361051952,0.136219259,0.891503042
0,1,6,4,1.084866569,3.115538804,2.676251762,0.406341818,0.223295601,1.874952201
0,1,6,4,0.406619384,1.402557715,1.825658502,0.352991562,0.063168434,0.52248359
0,1,6,4,0.571765287,2.020944985,2.081689157,0.463946048,0.197641584,1.33453854
0,1,6,4,0.475807766,2.851682383,2.472604283,0.184350127,0.090907716,1.02897262
0,1,6,4,0.480742783,1.633322938,1.973383768,0.209235007,0.08578747,0.704691367
