1,1,1,2,0,1,14.28,1.41,2.39,,15.15
1,1,1,2,0.25,1,12.3,0.41,3.91,,25.08
1,1,1,2,0.25,1,,0.37,,,27.82
1,1,1,2,0.5,1,13.8,1.49,1.85,,25.09
1,1,1,2,0.5,1,11.12,0.61,2.27,,14.54
1,1,1,2,0.5,1,10.45,,2.01,0.69,20.91
1,1,1,2,1,1,15.81,,2.59,,27.42
1,1,1,2,1,1,12.49,,1.82,0.62,25.62
2,1,1,1,0.25,1,81.02,0.088,0.245,0.083,
2,1,1,1,0.25,1,129.07,0.294,0.762,0.272,
2,1,1,1,0.25,1,95.73,0.025,,0.145,9.54
2,1,1,1,0.25,1,132.59,0.084,,0.177,6.83
2,1,1,1,0.5,1,107.78,0.381,,0.39,
2,1,1,1,1,1,94.33,0.31,0.404,0.345,
2,1,1,1,1,1,109.67,0.203,0.372,0.262,
1,1,2,1,0.5,1,128.52,1.81,4.49,1.31,
1,1,2,1,0.5,1,,,4,1.27,10.21
1,1,2,1,1,1,110.98,1.28,,1.11,16.15
1,2,1,1,0,1,84.78,0.68,,0.28,12.48
1,2,1,1,0,1,108.76,0.63,,0.12,3.33
1,2,1,1,0.25,1,109.43,0.34,,0.29,
1,2,1,1,0.25,1,100.82,0.46,1.03,0.33,
1,2,1,1,0.25,1,104.4,0.71,,0.53,12.17
1,2,1,1,0.25,1,104.4,0.71,,0.53,12.17
1,2,1,1,0.5,1,106,0.25,1.58,0.37,
1,2,1,1,1,1,64.1,0.45,2.02,0.6,
1,1,1,2,0,2,2.99,0.35,5.26,2.4,
1,1,1,2,0.5,2,,0.63,,,
1,1,1,2,1,2,5.7,,3.28,2.08,24.94
1,1,1,2,1,2,6.43,,3.13,1.63,3.26
1,1,1,2,1,2,8.35,1.91,,1.86,16.34
1,1,1,1,0,2,102.41,0.078,0.757,,
1,1,1,1,0.5,2,124.29,0.406,0.779,,12.55
1,1,2,1,0,2,158.6,2.53,8.54,1.85,
1,1,2,1,0.25,2,138.56,2.48,8.02,2.37,
1,2,1,1,0,2,107.1100152,,0.600799977,0.559013304,9.252686608
1,2,1,1,0,2,71.94621188,0.1,0.584098784,0.543815441,
1,2,1,1,0,2,90.73536928,0.16,0.5608955,0.600159234,
1,2,1,1,0.25,2,69.28032629,,,0.67341381,
1,2,1,1,0.5,2,61.09272109,0.3,0.686187059,0.65958037,
1,2,1,1,0.25,2,120.6413747,,0.772793182,0.651736691,11.17742116
1,2,1,1,1,2,70.26067815,0.41,0.863510532,0.639624877,
