body part,"concentration (0, 0.25, 0.5, 1)","week (0, 1 -> week 3, week 6)",BCA/WEIGHT,MDA/WEIGHT,NEFA/WEIGHT,TC/WEIGHT,TG/WEIGHT
10,1,2,6.43,,3.13,1.63,3.26
10,1,2,10.64,1.83,3.29,1.60,16.72
10,1,2,8.35,1.91,,1.86,16.34
10,1,2,8.02,2.89,3.38,2.49,28.80
10,1,2,8.94,2.62,2.86,2.10,23.99
2.5,0,2,162.42,0.111,0.353,0.466,3.85
2.5,0,2,115.62,0.152,0.754,0.668,8.65
2.5,0,2,102.41,0.078,0.757,,
2.5,0,2,110.02,0.105,0.390,0.583,8.25
2.5,0,2,113.06,0.084,0.433,0.560,7.88
2.5,0,2,127.04,0.115,0.380,0.512,5.67
2.5,0.25,2,125.63,0.209,0.345,0.472,4.68
2.5,0.25,2,118.81,0.202,0.610,0.523,9.48
2.5,0.25,2,90.99,0.231,0.447,0.582,8.11
2.5,0.25,2,98.72,0.211,0.663,0.641,10.88
2.5,0.25,2,137.70,0.295,0.436,0.637,6.27
2.5,0.25,2,136.12,0.250,0.340,0.708,7.75
2.5,0.5,2,124.29,0.406,0.779,,12.55
2.5,0.5,2,120.70,0.433,0.443,0.438,9.76
2.5,0.5,2,112.25,0.228,0.341,0.514,3.25
2.5,0.5,2,122.53,0.255,0.356,0.497,8.91
2.5,0.5,2,126.96,0.325,0.408,0.627,9.77
2.5,0.5,2,148.95,0.334,0.514,0.664,13.67
2.5,1,2,111.46,0.404,0.694,0.742,13.98
2.5,1,2,114.17,0.260,0.576,0.661,7.59
2.5,1,2,105.85,0.464,0.488,0.589,10.77
2.5,1,2,107.13,0.374,0.306,0.597,5.83
2.5,1,2,126.85,0.340,0.403,0.530,11.19
2.5,1,2,111.32,0.438,0.377,0.555,9.87
7.5,0,2,158.60,2.53,8.54,1.85,
7.5,0,2,129.16,1.31,5.19,2.05,4.82
7.5,0,2,117.07,1.36,6.10,1.83,7.01
7.5,0,2,124.15,1.18,4.34,1.74,5.84
7.5,0,2,129.94,1.36,4.62,1.78,7.99
7.5,0,2,128.55,1.21,4.54,2.00,10.31
7.5,0.25,2,140.14,2.59,5.57,1.68,12.65
7.5,0.25,2,144.61,1.78,5.40,2.21,10.93
7.5,0.25,2,118.00,2.42,4.44,1.64,6.78
7.5,0.25,2,138.56,2.48,8.02,2.37,
7.5,0.25,2,150.86,2.28,3.10,1.19,2.97
7.5,0.25,2,149.05,2.20,4.55,1.96,10.79
7.5,0.5,2,136.54,2.81,6.38,1.87,11.91
7.5,0.5,2,142.87,2.75,4.07,1.91,7.69
7.5,0.5,2,149.41,2.67,3.29,1.19,3.84
7.5,0.5,2,148.43,3.15,6.06,1.87,5.96
7.5,0.5,2,124.49,2.36,4.39,1.68,3.35
7.5,0.5,2,142.11,2.24,5.26,1.95,11.95
7.5,1,2,138.62,3.61,4.13,1.98,11.04
7.5,1,2,145.56,2.82,4.25,1.90,6.03
7.5,1,2,123.96,3.30,4.71,1.59,6.42
7.5,1,2,114.20,2.17,2.53,1.22,4.12
7.5,1,2,120.98,2.62,3.02,1.26,4.17
7.5,1,2,121.65,2.22,3.33,1.46,2.67
5,0,2,107.1100152,,0.600799977,0.559013304,9.252686608
5,0,2,114.8542219,0.14,0.544771567,0.609493297,2.623766183
5,0,2,71.94621188,0.10,0.584098784,0.543815441,
5,0,2,91.64528272,0.12,0.414763697,0.51293298,5.797953475
5,0,2,121.1981313,0.10,0.327544752,0.486985581,2.509243963
5,0,2,90.73536928,0.16,0.5608955,0.600159234,
5,0.25,2,99.93095578,0.29,0.351662269,0.459118248,1.490725134
5,0.25,2,69.28032629,,,0.67341381,
5,0.25,2,99.63423018,0.21,0.507650237,0.587015317,3.45050173
5,0.25,2,72.34972316,0.21,0.484558441,0.520755661,4.493898519
5,0.25,2,101.554779,0.23,0.540561647,0.495926141,5.575785885
5,0.25,2,120.6413747,,0.772793182,0.651736691,11.17742116
