pen,time period,Species,Study,Diet,"average 
feed intake, g/d","average feed intake, g","average 
feed intake, g/d",bodyweightgain,akp,alt,glucose,nefa,pip,tc,tg,trap,uric acid,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS,COHESIVENESS,GUMMINESS,RESILIENCE,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS
1,1-3 weeks,broiler chicken,broiler DHA,S 4%,56.26,1181.46,56.26,42.20,227.94,2.78813846,2.121136154,416.05175,88.2740448,40.210641,22.800905,,0.224014126,0.457996516,0.910807688,2.602653331,2.443199786,0.689710988,0.025090731,0.341,1.385,6.855,0.046,0.750,0.202,,,,,,,,,,,,,
2,1-3 weeks,broiler chicken,broiler DHA,S 4%,58.17125,1221.59625,58.17125,39.52,354.55,2.847671665,1.679866228,245.846,129.8418972,42.9897475,31.51727,,0.248452031,0.162040794,0.461069423,1.734959589,0.870083653,0.32465473,3.017643018,0.598,2.146,,0.067,0.696,0.426,,,,,,,,,,,,,
3,1-3 weeks,broiler chicken,broiler DHA,S 4%,49.62938,1042.21698,49.62938,38.92,186.69,,1.261923346,160.5712,96.77206851,38.891743,38.019955,,0.150700412,0.26142596,0.446594767,1.649432588,2.120576686,0.46134625,3.138342246,0.400,1.442,1.972,0.038,0.963,0.201,,,,,,,,,,,,,
4,1-3 weeks,broiler chicken,broiler DHA,S 4%,62.18687,1305.92427,62.18687,43.54,238.80,2.093584395,1.694121644,578.0051,,44.167335,23.49268,,0.260670983,0.171717062,0.298705975,0.994207139,0.671505241,0.39486429,1.548967485,0.239,0.825,1.781,0.091,0.432,0.238,,,,,,,,,,,,,
5,1-3 weeks,broiler chicken,broiler DHA,S 4%,59.3425,1246.1925,59.3425,44.38,164.92,2.698838651,1.333200427,489.63565,,41.623746,12.839345,,,0.174182233,0.334019724,1.556931493,3.434286586,0.734203007,2.624360802,0.377542252,1.163504599,2.158355582,0.060990325,0.442623409,0.274692002,,,,,,,,,,,,,
6,1-3 weeks,broiler chicken,broiler DHA,S 4%,58.52,1228.92,58.52,44.16,339.36,,2.235179483,482.07095,50.46113307,50.2436865,51.578745,,0.20772219,0.33484078,0.674004985,2.594845624,6.261930997,2.296658792,3.387392031,0.277218362,0.91179438,1.84489093,0.052289858,0.342707723,0.403216571,,,,,,,,,,,,,
1,4-6 weeks,broiler chicken,broiler DHA,G Control,177.528,3728.088,177.528,97.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4-6 weeks,broiler chicken,broiler DHA,G Control,165.027,3465.567,165.027,94.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4-6 weeks,broiler chicken,broiler DHA,G Control,156.66,3289.86,156.66,96.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4-6 weeks,broiler chicken,broiler DHA,G Control,173.531,3644.151,173.531,99.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4-6 weeks,broiler chicken,broiler DHA,G Control,164.913,3463.173,164.913,97.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4-6 weeks,broiler chicken,broiler DHA,G Control,145.8537,3062.9277,145.8537,97.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4-6 weeks,broiler chicken,broiler DHA,g 1%,177.575,3729.075,177.575,101.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4-6 weeks,broiler chicken,broiler DHA,g 1%,174.822,3671.262,174.822,99.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4-6 weeks,broiler chicken,broiler DHA,g 1%,173.121,3635.541,173.121,89.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4-6 weeks,broiler chicken,broiler DHA,g 1%,154.1,3236.1,154.1,101.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4-6 weeks,broiler chicken,broiler DHA,g 1%,191.105,4013.205,191.105,88.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4-6 weeks,broiler chicken,broiler DHA,g 1%,207.097,4349.037,207.097,88.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4-6 weeks,broiler chicken,broiler DHA,g 2%,161.989,3401.769,161.989,94.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4-6 weeks,broiler chicken,broiler DHA,g 2%,166.951,3505.971,166.951,85.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4-6 weeks,broiler chicken,broiler DHA,g 2%,145.4388,3054.2148,145.4388,91.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4-6 weeks,broiler chicken,broiler DHA,g 2%,180.734,3795.414,180.734,103.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4-6 weeks,broiler chicken,broiler DHA,g 2%,175.236,3679.956,175.236,89.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4-6 weeks,broiler chicken,broiler DHA,g 2%,167.343,3514.203,167.343,84.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4-6 weeks,broiler chicken,broiler DHA,g4% ,157.287,3303.027,157.287,77.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4-6 weeks,broiler chicken,broiler DHA,g4% ,168.0197,3528.4137,168.0197,73.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4-6 weeks,broiler chicken,broiler DHA,g4% ,144.088,3025.848,144.088,71.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4-6 weeks,broiler chicken,broiler DHA,g4% ,167.73,3522.33,167.73,76.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4-6 weeks,broiler chicken,broiler DHA,g4% ,172.9738,3632.4498,172.9738,89.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4-6 weeks,broiler chicken,broiler DHA,g4% ,178.6597,3751.8537,178.6597,85.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1-3 weeks,broiler chicken,broiler AST,control,58.72,1233.16557,58.72,40.88,130.6316,,16.02008,526.3752,1.15397,73.03859,43.23301,0.1928957,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1-3 weeks,broiler chicken,broiler AST,control,52.72,1107.04839,52.72,37.50,77.01767,0.5855962,16.58387,559.282,1.240577,76.71066,43.06236,0.1785553,40.83538,,,,,,,,,,,,,,,,,,,,,,,,,
3,1-3 weeks,broiler chicken,broiler AST,control,54.38,1141.97811,54.38,37.63,98.74431,,15.59804,866.9257,1.30224,61.29024,,0.18377,107.25,,,,,,,,,,,,,,,,,,,,,,,,,
4,1-3 weeks,broiler chicken,broiler AST,control,57.45,1206.48276,57.45,37.23,88.54622,0.8831169,15.52072,630.1857,1.425568,54.20518,22.60641,0.3043592,238.2047,,,,,,,,,,,,,,,,,,,,,,,,,
5,1-3 weeks,broiler chicken,broiler AST,control,68.70,1442.72184,68.70,46.48,109.5576,0.8972845,18.45566,,1.309169,61.78022,54.47418,,262.8424,,,,,,,,,,,,,,,,,,,,,,,,,
6,1-3 weeks,broiler chicken,broiler AST,control,70.59,1482.47967,70.59,44.92,,0.6706021,14.85706,779.2135,1.011936,60.00051,21.26259,0.277634,255.8796,,,,,,,,,,,,,,,,,,,,,,,,,
1,1-3 weeks,broiler chicken,broiler AST,0.5% P-1,60.78,1276.39365,60.78,43.17,141.7301,0.5911059,16.49689,458.1941,,56.55373,22.56375,0.3682388,312.6534,,,,,,,,,,,,,,,,,,,,,,,,,
2,1-3 weeks,broiler chicken,broiler AST,0.5% P-1,59.83,1256.46255,59.83,43.85,,1.010626,16.77073,570.1721,1.295312,79.41402,33.05836,,169.3799,,,,,,,,,,,,,,,,,,,,,,,,,
