pen,time period,Species,Study,Diet,"average 
feed intake, g/d","average feed intake, g","ME, kcal/kg",Overall,NDF,ADF,NFC,Crude fiber,Starch,CP,Arginine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Valine,Alanine,Aspartic acid,Cystine,Met + Cys,Glutamic acid,Glycine,Proline,Serine,Tyrosine,Phe + Tyr,Ether extract,SFA,MUFA,PUFA,n-3 PUFA,n-6 PUFA,n-3/n-6 ratio,C14,C15:0,C15:1,C16:0,C16:1,C17:0,C17:1,C18:0,C18:1,"C18:2 cis n-6
LA","C18:3 cis n-3
ALA",C20:0,C20:1,"C20:4n-6
ARA","C20:5n-3
EPA",C22:0,C22:1,"C22:6n-3
DHA",C24:0,Ash,Vitamin A IU/kg,"beta-
carotene",Vitamin D3 IU/kg,25(OH)D3,Vitamin E IU/kg,Vitamin K ppm,"Astaxanthin
AST %",Thiamin ppm,Riboflavin ppm,Niacin ppm,"Pantothenic
acid ppm",Pyridoxine ppm,Biotin ppm,Folic acid ppm,Vitamin B12 ppm,Choline ppm,Calcium,"(Total)
Phosphorus","(Inorganic)
available P",Ca:P ratio,Na,Cl,K,Mg,S,Cu ppm,I ppm,Fe,Mn,Se,Zn,"average 
feed intake, g/d",bodyweightgain,akp,alt,gluclose,nefa,pip,tc,tg,trap,uric acid,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,mTOR,S6K1,4E-BP1,MURF1,MAFbx,AMPK,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS,COHESIVENESS,GUMMINESS,RESILIENCE,PH,WHC,HARDNESS,SPRINGINESS,CHEWINESS
5,1-6 weeks,broiler chicken,broiler DHA,g 1%,121.3106,3275.3862,19690.90611,,,,,,,1351.882913,74.14491938,21.37975763,48.7943055,72.9334665,66.89867625,26.56206675,43.5536865,49.310289,12.0695805,54.82909575,0,0,0,0,0,0,0,0,0,0,303.298763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.5077375,0,0,0,0,0,0,0,0,0,0,30218719.31,740237.7181,2947848.188,0,49134.52323,4913.080313,0,6883.411544,25542.62151,103418.5296,20909.18405,24571.07954,1112.402495,2557.13025,45.63268994,10318316.94,60.3479025,45.97983815,24.31864688,0,13.1015475,13.1015475,19.65232125,10.05465177,1211.171152,57970.81378,1878.966534,506709.3891,351324.3383,899.1663584,279422.0582,121.3106,39.86,180.3809018,,2.792376162,640.403751,56.49898048,67.498916,26.87794246,,0.210666283,0.335,0.91771,2.14684,2.43532,0.84503,5.54452,0.568566916,2.607923106,2.717821421,0.360941465,0.139866179,1.303643526,6.063425,0.383601365,8852.559688,0.741197183,3014.425352,0.452773539,4109.91731,0.16416362,5.92146,0.36872758,5748.182821,0.87195122,3186.482699
6,1-6 weeks,broiler chicken,broiler DHA,g 1%,131.4798,3549.9546,21341.47129,,,,,,,1465.229925,80.36140275,23.17218705,52.8851187,79.0480971,72.5073525,28.7895897,47.2051935,53.4442806,13.0814892,59.4258633,0,0,0,0,0,0,0,0,0,0,328.7221032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.999065,0,0,0,0,0,0,0,0,0,0,32751868.68,802289.7426,3194957.925,0,53253.33066,5324.929875,0,7460.428372,27683.7869,112087.8042,22662.61531,26630.80333,1205.652037,2771.487219,49.45794868,11183272.15,65.407446,49.83523468,26.35796025,0,14.199813,14.199813,21.2997195,10.89661412,1312.526547,62833.34408,2036.251744,549176.0371,380752.3534,974.4959044,302854.5966,131.4798,42.50,299.2691303,3.105648889,2.803906061,274.5594806,50.91605675,58.67357594,29.47061734,,,0.41961,0.74127,1.62427,5.72263,0.7141,3.28552,0.814463761,2.502743276,2.255202552,0.462606544,0.221244784,2.804607402,5.76042,0.403057563,7883.545258,0.746478873,2786.686725,0.479971782,3744.948651,0.165017172,6.32774,0.412376832,,0.882621951,
1,1-6 weeks,broiler chicken,broiler DHA,g 2%,105.7682,2855.7414,17156.84321,,,,,,,1182.430575,64.83301425,18.67808835,42.6302919,63.7267527,58.4526375,23.3089839,38.0611035,43.0676622,10.5482304,47.9044071,0,0,0,0,0,0,0,0,0,0,303.6145917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.114855,0,0,0,0,0,0,0,0,0,0,26992480.47,1290795.788,2570168.475,0,42836.83042,4283.614125,0,6004.116927,23121.08448,94674.15881,17143.24239,21424.99763,1082.968046,2316.662027,45.30350299,8996326.047,52.741152,40.45669765,21.32798175,0,11.422971,11.422971,17.1344565,8.556895023,13.60160437,51043.8457,1601.029631,440229.3942,302561.4868,776.462093,245185.8706,105.7682,39.88,251.1040123,2.783177359,,594.9494154,62.43083695,65.23928787,23.37020585,,0.313029093,0.61361,1.35222,3.00316,0.01306,1.09912,6.25633,0.661952938,2.410540834,3.474137471,0.449687455,0.10992697,1.226328931,6.159,0.411916029,5490.058359,0.711267606,1462.617541,0.38053776,2080.418564,0.147412906,5.971455,0.396059646,4934.292322,0.882621951,2807.084184
2,1-6 weeks,broiler chicken,broiler DHA,g 2%,112.5967,3040.1109,18251.14984,,,,,,,1263.221325,69.24129075,19.92848265,45.4864221,68.0042493,62.3747925,24.9919101,40.6222425,45.9371898,11.2589136,51.1158789,0,0,0,0,0,0,0,0,0,0,322.9649315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.802245,0,0,0,0,0,0,0,0,0,0,28735140.99,1374130.814,2736101.025,0,45602.49386,4560.168375,0,6391.747865,24613.80619,100786.4141,18250.03617,22808.21725,1152.885724,2466.23722,48.22834073,9577139.814,56.294568,43.26717411,22.85333325,0,12.160449,12.160449,18.2406735,8.935279207,14.51866783,54932.96365,1660.245694,466799.714,317643.9002,817.6881342,262870.7248,112.5967,35.27,236.519642,2.46566693,2.630957582,204.7997016,55.27771592,51.25517416,35.41851854,,,0.80007,1.1618,2.52191,6.41523,1.37029,3.88095,0.891115357,2.840627216,3.149870796,0.407659317,0.138813198,2.7902908,5.76837,0.432986299,5965.118688,0.781690141,2195.613848,0.477207303,2809.092318,0.177815806,6.856245,0.419360402,5175.047106,0.87195122,2816.685914
3,1-6 weeks,broiler chicken,broiler DHA,g 2%,103.14,2784.78,16700.07885,,,,,,,1163.193683,63.72924548,18.31541045,41.80769748,62.51520384,57.33832725,23.13558963,37.3520484,42.20038224,10.35375318,46.98457407,0,0,0,0,0,0,0,0,0,0,295.4974029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.6956135,0,0,0,0,0,0,0,0,0,0,26321746.94,1258720.945,2506302.608,0,41772.55638,4177.171013,0,5854.919774,22546.55601,92321.61082,16717.2734,20892.61257,1056.057977,2259.116627,44.17776063,8772782.454,51.7687659,39.90386639,21.13617848,0,11.1391227,11.1391227,16.70868405,7.947614897,13.35233695,51128.36708,1460.639132,425071.306,284899.4296,736.8790128,243321.4956,103.14,44.11,24.994065,,2.815435959,445.9602043,60.54078465,64.55713598,33.74090538,,0.445247724,0.25892,0.70117,1.23287,2.34983,0.49354,2.78696,0.858473424,3.129732057,3.498221626,0.634355688,0.139955983,0.903936297,5.497765,0.408396506,6028.727727,0.733568075,2280.515446,0.515727129,3108.840312,0.197238668,6.176015,0.40499465,3427.095349,,2277.0596
4,1-6 weeks,broiler chicken,broiler DHA,g 2%,118.6839,3204.4653,19249.39097,,,,,,,1327.659188,72.79188863,20.96730698,47.8555614,71.5393512,65.61840375,26.18886465,42.728418,48.3435432,11.8418949,53.77650885,0,0,0,0,0,0,0,0,0,0,340.6423619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0892925,0,0,0,0,0,0,0,0,0,0,30288599.64,1448418.085,2884018.163,0,48067.75711,4806.696938,0,6737.294513,25944.45824,106235.0567,19236.64831,24041.25778,1215.212019,2599.557156,50.83562681,10094890.31,59.2094745,45.43438796,23.96036363,0,12.8178585,12.8178585,19.22678775,9.568993679,15.26986765,57388.82965,1788.214641,493637.981,338669.0834,869.5998198,275475.8263,118.6839,44.78,89.51175438,,2.652243549,302.021475,52.63164269,69.58800615,23.67522643,,,0.27919,0.54901,2.02416,1.81036,0.40575,3.22662,1.066182271,3.262456143,2.923114768,0.509094004,0.117864124,1.310363527,5.804595,0.443497225,7298.428697,0.727112676,2402.905771,0.445833323,3291.578149,0.165027682,6.29,0.391315037,5815.74136,,3835.876311
5,1-6 weeks,broiler chicken,broiler DHA,g 2%,113.6896,3069.6192,18444.48184,,,,,,,1270.083175,69.643395,20.06791524,45.80192952,68.46632568,62.80022664,25.0185348,40.89054053,46.27506672,11.33219808,51.46802856,0,0,0,0,0,0,0,0,0,0,326.4042132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3923624,0,0,0,0,0,0,0,0,0,0,29014030.47,1387467.459,2762656.308,0,46044.99707,4604.42718,0,6453.783864,24852.69326,101764.5981,18427.15067,23029.58145,1164.074814,2490.162102,48.69642186,9670088.146,56.6609904,43.44633889,22.89519108,0,12.27847248,12.27847248,18.41770872,9.23306259,14.61237155,54746.22215,1729.893073,473575.1518,326124.3845,836.4201254,263172.1403,113.6896,40.79,39.41427654,3.249520803,3.079736711,272.6655499,54.92878318,61.27428002,25.65786016,,0.176545346,0.18191,0.5055,1.1176,1.52786,0.33676,3.03463,1.431701621,4.70980202,3.171174505,0.452155216,0.11592136,1.384621011,6.819,0.394766124,6828.800328,0.820422535,3157.187344,0.561387438,3872.349077,,6.38697,0.398809322,7327.523577,0.882621951,4421.165073
6,1-6 weeks,broiler chicken,broiler DHA,g 2%,112.3299,3032.9073,18209.81568,,,,,,,1259.590025,69.045318,19.87488036,45.36375138,67.81971402,62.20572336,24.9071706,40.51109797,45.81557748,11.22798132,50.97774204,0,0,0,0,0,0,0,0,0,0,322.2356448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.6581676,0,0,0,0,0,0,0,0,0,0,28667050.01,1370874.663,2729617.542,0,45494.42294,4549.36257,0,6376.602027,24555.48083,100547.5898,18206.78939,22754.17058,1150.153807,2460.391881,48.11405854,9554445.431,56.1399066,43.13619499,22.77791442,0,12.13163352,12.13163352,18.19745028,8.939048748,14.47868546,54717.71924,1662.638027,465958.8781,317529.0791,817.0263614,261981.9405,112.3299,43.37,77.78714512,3.43308152,3.291709462,267.2994131,59.90107463,70.48333051,33.89341567,,0.189340697,0.30103,0.4235,1.83057,2.0399,0.77468,2.3742,0.767507575,2.483026395,2.39218436,0.361051952,0.136219259,0.891503042,5.927355,0.372827608,6399.262187,0.776408451,2246.370921,0.458627052,2903.631598,0.181246288,6.25824,0.382863225,5071.08213,0.861280488,2821.387492
1,1-6 weeks,broiler chicken,broiler DHA,g4% ,106.7735,2882.8845,17304.73943,,,,,,,1198.7244,65.701989,18.9061668,43.1534277,64.5178041,59.17671,23.7327462,38.5408125,43.5781026,10.6821882,48.4945218,0,0,0,0,0,0,0,0,0,0,385.5314753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.65769,0,0,0,0,0,0,0,0,0,0,28552088.09,2606127.658,2594596.05,0,43246.28881,4324.32675,0,6066.454507,25058.30757,104648.7453,17310.0094,21632.60489,1321.584524,2515.335,56.89902591,9081821.276,53.410941,41.4552686,21.6992115,0,11.531538,11.531538,17.297307,8.5555602,13.7169747,52203.17683,1566.1107,442310.8718,300382.1351,773.7308641,249623.1597,106.7735,42.20,75.72186871,2.78813846,,535.6062551,66.12370838,59.69680378,21.23506183,,0.313029093,0.28893,0.53051,0.29271,1.26178,0.47378,3.17152,1.084866569,3.115538804,2.676251762,0.406341818,0.223295601,1.874952201,6.25311,0.359347731,7362.726571,0.794014085,3089.973633,0.537832297,3892.83508,,6.52593,0.382077019,5788.328297,,5956.455492
2,1-6 weeks,broiler chicken,broiler DHA,g4% ,113.0955,3053.5785,18332.7897,,,,,,,1268.549843,69.53464778,20.01408521,45.68167287,68.29568271,62.64218025,25.09193997,40.79594835,46.13532606,11.30700492,51.33517533,0,0,0,0,0,0,0,0,0,0,408.4234135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0715565,0,0,0,0,0,0,0,0,0,0,30242634.78,2760434.426,2748220.043,0,45806.86946,4580.366738,0,6425.644672,26541.98331,110844.9143,18334.91897,22913.45401,1399.834448,2664.265547,60.26820252,9619548.179,56.5350246,43.8620167,22.94566853,0,12.2143113,12.2143113,18.32146695,9.10813167,14.51764512,55140.71713,1670.243912,468978.0173,319317.4457,821.8428647,263923.8306,113.0955,39.52,143.7915814,2.847671665,2.513884766,183.0194992,,55.68916143,,,,0.57391,0.87689,4.76761,13.51049,2.95412,5.00848,2.139012555,3.123159968,3.608481688,0.604279104,0.718839635,4.617709139,6.605805,0.363399567,,0.802816901,,0.506319475,2043.899467,0.196674049,6.2486,0.356388117,5317.858735,0.87601626,2326.653005
