6,1-3 weeks,broiler chicken,broiler AST,2% P-1,66.27,1789.21413
1,1-3 weeks,broiler chicken,broiler AST,0.32% P-2,75.87,2048.61366
2,1-3 weeks,broiler chicken,broiler AST,0.32% P-2,66.47,1794.69837
3,1-3 weeks,broiler chicken,broiler AST,0.32% P-2,65.76,1775.61558
4,1-3 weeks,broiler chicken,broiler AST,0.32% P-2,65.53,1769.24736
5,1-3 weeks,broiler chicken,broiler AST,0.32% P-2,66.85,1805.0607
6,1-3 weeks,broiler chicken,broiler AST,0.32% P-2,60.25,1626.75405
1,3-6 weeks,broiler chicken,broiler AST,control,104.55,2822.7771
2,3-6 weeks,broiler chicken,broiler AST,control,96.82,2614.06305
3,3-6 weeks,broiler chicken,broiler AST,control,114.77,3098.8872
4,3-6 weeks,broiler chicken,broiler AST,control,113.1,3053.5974
5,3-6 weeks,broiler chicken,broiler AST,control,107.37,2898.9765
6,3-6 weeks,broiler chicken,broiler AST,control,127.65,3446.4609
1,3-6 weeks,broiler chicken,broiler AST,0.5% P-1,0,0
2,3-6 weeks,broiler chicken,broiler AST,0.5% P-1,108.87,2939.4252
3,3-6 weeks,broiler chicken,broiler AST,0.5% P-1,119.39,3223.4112
4,3-6 weeks,broiler chicken,broiler AST,0.5% P-1,122.98,3320.46
5,3-6 weeks,broiler chicken,broiler AST,0.5% P-1,134.93,3642.9939
6,3-6 weeks,broiler chicken,broiler AST,0.5% P-1,106.16,2866.3632
1,3-6 weeks,broiler chicken,broiler AST,0.08% P-2,117.77,3179.7765
2,3-6 weeks,broiler chicken,broiler AST,0.08% P-2,103.1,2783.5974
3,3-6 weeks,broiler chicken,broiler AST,0.08% P-2,0,0
4,3-6 weeks,broiler chicken,broiler AST,0.08% P-2,113.49,3064.23
5,3-6 weeks,broiler chicken,broiler AST,0.08% P-2,113.11,3054.0348
6,3-6 weeks,broiler chicken,broiler AST,0.08% P-2,102.31,2762.2485
1,3-6 weeks,broiler chicken,broiler AST,2% P-1,112.59,3040.0002
2,3-6 weeks,broiler chicken,broiler AST,2% P-1,107.84,2911.6908
3,3-6 weeks,broiler chicken,broiler AST,2% P-1,109.65,2960.5149
4,3-6 weeks,broiler chicken,broiler AST,2% P-1,110.63,2986.9722
5,3-6 weeks,broiler chicken,broiler AST,2% P-1,118.3,3194.1
6,3-6 weeks,broiler chicken,broiler AST,2% P-1,106.55,2876.8365
1,3-6 weeks,broiler chicken,broiler AST,0.32% P-2,116.46,3144.3174
2,3-6 weeks,broiler chicken,broiler AST,0.32% P-2,107.52,2902.9671
3,3-6 weeks,broiler chicken,broiler AST,0.32% P-2,108.34,2925.2313
4,3-6 weeks,broiler chicken,broiler AST,0.32% P-2,102.5,2767.4055
5,3-6 weeks,broiler chicken,broiler AST,0.32% P-2,94.47,2550.71565
6,3-6 weeks,broiler chicken,broiler AST,0.32% P-2,90.46,2442.48129
1,1- 6 weeks,broiler chicken,broiler AST,control,163.27,4408.27569
2,1- 6 weeks,broiler chicken,broiler AST,control,149.53,4037.41098
3,1- 6 weeks,broiler chicken,broiler AST,control,169.15,4567.14477
4,1- 6 weeks,broiler chicken,broiler AST,control,170.55,4604.78952
