breast,thigh,liver,adipose,"concentration (0, 0.25, 0.5, 1)","week (0, 1 -> week 3, week 6)",BCA/WEIGHT,MDA/WEIGHT,NEFA/WEIGHT,TC/WEIGHT,TG/WEIGHT
0,1,0,0,0.25,0,61.65,0.20,1.41,0.27,7.27
0,1,0,0,0.25,0,101.73,0.26,1.20,0.25,6.48
0,1,0,0,0.25,0,86.72,0.48,0.95,0.15,9.37
0,1,0,0,0.25,0,104.40,0.71,,0.53,12.17
0,1,0,0,0.5,0,99.56,0.44,0.82,0.32,
0,1,0,0,0.5,0,89.36,0.58,1.05,0.34,11.40
0,1,0,0,0.5,0,106.00,0.25,1.58,0.37,
0,1,0,0,0.5,0,88.23,0.61,1.29,0.45,14.81
0,1,0,0,0.5,0,89.69,0.47,0.81,0.31,5.34
0,1,0,0,0.5,0,107.21,0.59,0.92,0.34,6.63
0,1,0,0,1,0,64.10,0.45,2.02,0.60,
0,1,0,0,1,0,90.89,0.71,1.17,0.49,20.25
0,1,0,0,1,0,102.04,0.48,0.89,0.22,7.29
0,1,0,0,1,0,116.79,0.62,1.07,0.30,4.65
0,1,0,0,1,0,78.20,0.47,1.89,0.53,22.20
0,1,0,0,1,0,117.72,0.44,0.60,0.26,3.92
0,0,0,1,0,1,6.03,0.20,2.98,1.91,9.25
0,0,0,1,0,1,2.99,0.35,5.26,2.40,
0,0,0,1,0,1,3.46,0.21,3.86,2.18,22.70
0,0,0,1,0,1,4.84,0.22,4.27,1.80,13.01
0,0,0,1,0,1,3.62,0.42,3.55,2.11,19.79
0,0,0,1,0,1,8.67,0.48,5.50,2.82,42.65
0,0,0,1,0.25,1,3.17,0.56,2.93,1.54,11.81
0,0,0,1,0.25,1,3.77,1.19,3.08,1.55,6.87
0,0,0,1,0.25,1,8.28,0.78,3.66,1.86,20.95
0,0,0,1,0.25,1,6.69,1.35,4.40,1.97,29.16
0,0,0,1,0.25,1,9.92,0.93,3.80,1.63,22.52
0,0,0,1,0.25,1,10.75,0.29,4.30,2.53,30.96
0,0,0,1,0.5,1,4.11,1.15,3.85,1.92,26.67
0,0,0,1,0.5,1,3.85,1.66,3.51,2.20,27.29
0,0,0,1,0.5,1,7.81,1.79,3.10,1.83,14.73
0,0,0,1,0.5,1,8.21,0.92,3.14,2.19,17.81
0,0,0,1,0.5,1,6.88,0.73,3.46,2.01,15.50
0,0,0,1,0.5,1,,0.63,,,
0,0,0,1,1,1,5.70,,3.28,2.08,24.94
0,0,0,1,1,1,6.43,,3.13,1.63,3.26
0,0,0,1,1,1,10.64,1.83,3.29,1.60,16.72
0,0,0,1,1,1,8.35,1.91,,1.86,16.34
0,0,0,1,1,1,8.02,2.89,3.38,2.49,28.80
0,0,0,1,1,1,8.94,2.62,2.86,2.10,23.99
1,0,0,0,0,1,162.42,0.111,0.353,0.466,3.85
1,0,0,0,0,1,115.62,0.152,0.754,0.668,8.65
1,0,0,0,0,1,102.41,0.078,0.757,,
